time (s),acc (m/s2)
6.18,0.0049
6.185,0.0049
6.19,0.0049
6.195,0.0049
6.2,0.0049
6.205,0.0049
6.21,0.0049
6.215,0.0049
6.22,0.0049
6.225,0.0049
6.23,0.0049
6.235,0.0049
6.24,0.0049
6.245,0.0049
6.25,0.0049
6.255,0.0049
6.26,0.0049
6.265,0.0049
6.27,0.0049
6.275,0.0049
6.28,0.0049
6.285,0.0049
6.29,0.0049
6.295,0.0049
6.3,0.0049
6.305,0.0049
6.31,0.0049
6.315,0.0049
6.32,0.0049
6.325,0.0049
6.33,0.0049
6.335,0.0049
6.34,0.0049
6.345,0.0049
6.35,0.0049
6.355,0.0049
6.36,0.0049
6.365,0.0049
6.37,0.0049
6.375,0.0049
6.38,0.0049
6.385,0.0049
6.39,0.0049
6.395,0.0049
6.4,0.0049
6.405,0.0049
6.41,0.0049
6.415,0.0049
6.42,0.0049
6.425,0.0049
6.43,0.0049
6.435,0.0049
6.44,0.0049
6.445,0.0049
6.45,0.0049
6.455,0.0049
6.46,0.0049
6.465,0.0049
6.47,0.0049
6.475,0.0049
6.48,0.0049
6.485,0.0049
6.49,0.0049
6.495,0.0049
6.5,0.0049
6.505,0.0049
6.51,0.0049
6.515,0.0049
6.52,0.0049
6.525,0.0049
6.53,0.0049
6.535,0.0049
6.54,0.0049
6.545,0.0049
6.55,0.0049
6.555,0.0049
6.56,0.0049
6.565,0.0049
6.57,0.0049
6.575,0.0049
6.58,0.0049
6.585,0.0049
6.59,0.0049
6.595,0.0049
6.6,0.0049
6.605,0.0049
6.61,0.0049
6.615,0.0049
6.62,0.0049
6.625,0.0049
6.63,0.0049
6.635,0.0049
6.64,0.0049
6.645,0.0049
6.65,0.0049
6.655,0.0049
6.66,0.0049
6.665,0.0049
6.67,0.0049
6.675,0.0049
6.68,0.0049
6.685,0.0049
6.69,0.0049
6.695,0.0049
6.7,0.0049
6.705,0.0049
6.71,0.0049
6.715,0.0049
6.72,0.0049
6.725,0.0049
6.73,0.0049
6.735,0.0049
6.74,0.0049
6.745,0.0049
6.75,0.0049
6.755,0.0049
6.76,0.0049
6.765,0.0049
6.77,0.0049
6.775,0.0049
6.78,0.0049
6.785,0.0049
6.79,0.0049
6.795,0.0049
6.8,0.0049
6.805,0.0049
6.81,0.0049
6.815,0.0049
6.82,0.0049
6.825,0.0049
6.83,0.0049
6.835,0.0049
6.84,0.0049
6.845,0.0049
6.85,0.0049
6.855,0.0049
6.86,0.0049
6.865,0.0049
6.87,0.0049
6.875,0.0049
6.88,0.0049
6.885,0.0049
6.89,0.0049
6.895,0.0049
6.9,0.0049
6.905,0.0049
6.91,0.0049
6.915,0.0049
6.92,0.0049
6.925,0.0049
6.93,0.0049
6.935,0.0049
6.94,0.0049
6.945,0.0049
6.95,0.0049
6.955,0.0049
6.96,0.0049
6.965,0.0049
6.97,0.0049
6.975,0.0049
6.98,0.0049
6.985,0.0049
6.99,0.0049
6.995,0.0049
7,0.0049
7.005,0.0049
7.01,0.0049
7.015,0.0049
7.02,0.0049
7.025,0.0049
7.03,0.0049
7.035,0.0049
7.04,0.0049
7.045,0.0049
7.05,0.0049
7.055,0.0049
7.06,0.0049
7.065,0.0049
7.07,0.0049
7.075,0.0049
7.08,0.0049
7.085,0.0049
7.09,0.0049
7.095,0.0049
7.1,0.0049
7.105,0.0049
7.11,0.0049
7.115,0.0049
7.12,0.0049
7.125,0.0049
7.13,0.0049
7.135,0.0049
7.14,0.0049
7.145,0.0049
7.15,0.0049
7.155,0.0049
7.16,0.0049
7.165,0.0049
7.17,0.0049
7.175,0.0049
7.18,0.0049
7.185,0.0049
7.19,0.00588
7.195,0.00588
7.2,0.00588
7.205,0.00686
7.21,0.00686
7.215,0.00686
7.22,0.00784
7.225,0.00784
7.23,0.00784
7.235,0.00882
7.24,0.00882
7.245,0.00882
7.25,0.00882
7.255,0.0098
7.26,0.00882
7.265,0.00882
7.27,0.00882
7.275,0.00882
7.28,0.00784
7.285,0.00784
7.29,0.00784
7.295,0.00686
7.3,0.00686
7.305,0.00686
7.31,0.00588
7.315,0.00588
7.32,0.00588
7.325,0.0049
7.33,0.0049
7.335,0.0049
7.34,0.0049
7.345,0.00392
7.35,0.00392
7.355,0.00392
7.36,0.00294
7.365,0.00294
7.37,0.00294
7.375,0.00196
7.38,0.00196
7.385,0.00196
7.39,0.00196
7.395,0.00098
7.4,0.00098
7.405,0.00098
7.41,0
7.415,0
7.42,0
7.425,0.00098
7.43,0.00098
7.435,0.00098
7.44,0.00196
7.445,0.00196
7.45,0.00196
7.455,0.00196
7.46,0.00294
7.465,0.00294
7.47,0.00294
7.475,0.00392
7.48,0.00392
7.485,0.00392
7.49,0.0049
7.495,0.0049
7.5,0.0049
7.505,0.0049
7.51,0.0049
7.515,0.0049
7.52,0.0049
7.525,0.0049
7.53,0.0049
7.535,0.0049
7.54,0.0049
7.545,0.0049
7.55,0.0049
7.555,0.0049
7.56,0.0049
7.565,0.0049
7.57,0.0049
7.575,0.0049
7.58,0.0049
7.585,0.0049
7.59,0.0049
7.595,0.0049
7.6,0.0049
7.605,0.0049
7.61,0.0049
7.615,0.0049
7.62,0.0049
7.625,0.0049
7.63,0.0049
7.635,0.0049
7.64,0.0049
7.645,0.0049
7.65,0.0049
7.655,0.0049
7.66,0.0049
7.665,0.00588
7.67,0.00686
7.675,0.00686
7.68,0.00784
7.685,0.00882
7.69,0.00882
7.695,0.0098
7.7,0.0098
7.705,0.01078
7.71,0.01176
7.715,0.01176
7.72,0.01274
7.725,0.01274
7.73,0.01372
7.735,0.0147
7.74,0.01176
7.745,0.00882
7.75,0.00588
7.755,0.00392
7.76,0.00098
7.765,-0.00196
7.77,-0.0049
7.775,-0.00686
7.78,-0.0098
7.785,-0.01274
7.79,-0.01568
7.795,-0.01764
7.8,-0.02058
